province,peak_lag,r
DKI JAKARTA,2,0.28914096119340627
BALI,2,0.3462280301815101
BANTEN,1,0.35902785301735424
JAWA BARAT,2,0.3646625113920395
JAWA TENGAH,1,0.40508213783236036
DI YOGYAKARTA,2,0.48429174784224804
JAWA TIMUR,1,0.5505100665957487
