province,date,cases,year,population,temp_mean,temp_max,temp_min,precip_total,rh_mean,oni,dmi,month,incidence_per_100k,time_index
JAWA TIMUR,2016-03-01,3370.0,2016,39210600,26.496774193548383,30.635483870967743,23.70967741935484,421.5,89.64516129032258,1.71,-0.009,3,8.594614721529382,129
JAWA TIMUR,2016-04-01,2578.0,2016,39210600,26.46333333333333,30.523333333333333,23.436666666666667,212.1,87.76666666666667,1.05,0.146,4,6.574752745431082,130
JAWA TIMUR,2016-05-01,2278.0,2016,39210600,26.993548387096773,31.299999999999997,23.635483870967743,149.3,85.09677419354838,0.49,-0.113,5,5.809653512060514,131
JAWA TIMUR,2016-06-01,1523.0,2016,39210600,26.133333333333333,30.45,22.61,124.7,85.43333333333334,0.0,-0.443,6,3.8841537747445845,132
JAWA TIMUR,2016-07-01,1346.0,2016,39210600,26.10967741935484,30.55806451612903,22.26451612903226,64.7,82.96774193548387,-0.31,-0.758,7,3.4327452270559493,133
JAWA TIMUR,2016-08-01,1265.0,2016,39210600,26.75483870967742,31.72258064516129,22.177419354838708,41.5,76.80645161290323,-0.5,-0.444,8,3.2261684340458956,134
JAWA TIMUR,2016-09-01,1146.0,2016,39210600,27.16,32.22666666666667,23.243333333333332,191.0,78.86666666666666,-0.58,-0.437,9,2.9226790714755704,135
JAWA TIMUR,2016-10-01,1115.0,2016,39210600,26.296774193548387,30.570967741935487,22.993548387096773,340.8,86.54838709677419,-0.64,-0.372,10,2.843618817360612,136
JAWA TIMUR,2016-11-01,1251.0,2016,39210600,26.39,30.653333333333332,23.276666666666664,415.6,88.06666666666666,-0.6,-0.382,11,3.1904638031552692,137
JAWA TIMUR,2016-12-01,1135.0,2016,39210600,26.19032258064516,30.380645161290325,23.348387096774193,383.8,88.2258064516129,-0.45,-0.31,12,2.8946254329186494,138
JAWA TIMUR,2017-01-01,1682.0,2017,39574200,26.51935483870968,30.951612903225808,24.161290322580644,394.4,86.41935483870968,-0.19,-0.086,1,4.25024384573788,139
JAWA TIMUR,2017-02-01,1187.0,2017,39574200,26.17142857142857,30.196428571428573,23.72142857142857,320.2,86.28571428571429,-0.02,0.101,2,2.999428920862582,140
JAWA TIMUR,2017-03-01,924.0,2017,39574200,26.774193548387096,31.05161290322581,24.30322580645161,319.8,86.35483870967742,0.18,0.357,3,2.334854526433889,141
JAWA TIMUR,2017-04-01,681.0,2017,39574200,26.9,31.35,24.39,268.5,86.83333333333333,0.31,0.499,4,1.7208181087678336,142
JAWA TIMUR,2017-05-01,504.0,2017,39574200,27.55483870967742,32.354838709677416,24.219354838709677,88.3,79.2258064516129,0.4,0.536,5,1.2735570144184847,143
JAWA TIMUR,2017-06-01,384.0,2017,39574200,27.13,31.913333333333338,23.75,74.1,77.33333333333333,0.39,0.424,6,0.9703291538426551,144
JAWA TIMUR,2017-07-01,317.0,2017,39574200,27.748387096774195,33.23225806451613,23.48064516129032,31.9,68.54838709677419,0.19,0.52,7,0.8010269316878168,145
JAWA TIMUR,2017-08-01,334.0,2017,39574200,28.529032258064515,35.49677419354839,23.23225806451613,0.3,59.064516129032256,-0.07,0.349,8,0.8439842119360593,146
JAWA TIMUR,2017-09-01,338.0,2017,39574200,29.34333333333333,36.47666666666667,23.94,15.5,58.9,-0.34,0.034,9,0.854091807288587,147
JAWA TIMUR,2017-10-01,431.0,2017,39574200,29.55806451612903,35.96774193548387,25.241935483870968,114.8,66.45161290322581,-0.6,0.016,10,1.089093399234855,148
JAWA TIMUR,2017-11-01,494.0,2017,39574200,27.563333333333333,32.96333333333333,24.82,296.9,81.43333333333334,-0.77,0.289,11,1.2482880260371656,149
JAWA TIMUR,2017-12-01,562.0,2017,39574200,26.858064516129033,31.083870967741937,24.125806451612902,238.8,83.74193548387096,-0.86,0.109,12,1.4201171470301357,150
JAWA TIMUR,2018-01-01,1114.0,2018,39937800,26.358064516129033,30.438709677419357,24.11935483870968,333.2,85.41935483870968,-0.77,-0.2,1,2.789337419687614,151
JAWA TIMUR,2018-02-01,823.0,2018,39937800,25.964285714285715,30.275,23.685714285714287,322.4,87.82142857142857,-0.71,0.215,2,2.0607043953347457,152
JAWA TIMUR,2018-03-01,768.0,2018,39937800,26.654838709677417,30.970967741935485,24.038709677419355,196.4,85.7741935483871,-0.57,-0.12,3,1.9229902498384988,153
JAWA TIMUR,2018-04-01,754.0,2018,39937800,27.756666666666668,32.440000000000005,24.58,61.3,78.7,-0.39,-0.083,4,1.8879357400758179,154
JAWA TIMUR,2018-05-01,755.0,2018,39937800,29.041935483870965,35.09032258064516,24.516129032258064,10.4,64.61290322580645,-0.13,0.122,5,1.890439633630295,155
JAWA TIMUR,2018-06-01,595.0,2018,39937800,28.793333333333333,35.05,23.916666666666668,14.7,63.333333333333336,0.06,0.155,6,1.4898166649139413,156
JAWA TIMUR,2018-07-01,534.0,2018,39937800,28.251612903225805,35.29677419354839,22.74516129032258,4.5,59.064516129032256,0.14,0.053,7,1.3370791580908312,157
JAWA TIMUR,2018-08-01,533.0,2018,39937800,28.212903225806453,35.248387096774195,22.396774193548385,1.2999999999999998,57.354838709677416,0.27,0.122,8,1.334575264536354,158
JAWA TIMUR,2018-09-01,533.0,2018,39937800,29.14333333333333,36.419999999999995,23.316666666666663,6.8,55.36666666666667,0.53,0.604,9,1.334575264536354,159
JAWA TIMUR,2018-10-01,723.0,2018,39937800,30.42258064516129,37.377419354838715,24.503225806451617,6.3,54.45161290322581,0.81,0.685,10,1.8103150398870242,160
JAWA TIMUR,2018-11-01,789.0,2018,39937800,28.846666666666668,34.79666666666667,25.076666666666664,200.2,73.06666666666666,0.97,0.5,11,1.9755720144825204,161
JAWA TIMUR,2018-12-01,528.0,2018,39937800,27.43548387096774,31.82903225806452,24.68064516129032,301.8,82.29032258064517,0.92,0.309,12,1.322055796763968,162
JAWA TIMUR,2019-01-01,5590.0,2019,40301400,26.516129032258064,31.151612903225807,24.148387096774194,431.6,88.38709677419355,0.89,0.387,1,13.870485888827684,163
JAWA TIMUR,2019-02-01,4311.0,2019,40301400,26.77857142857143,31.585714285714285,24.1,270.8,87.14285714285714,0.86,0.416,2,10.696898867036877,164
