province,date,temp_mean,temp_max,temp_min,precip_total,rh_mean
JAWA BARAT,2013-04-01,22.836666666666666,26.166666666666668,20.55,494.79999999999995,90.5
JAWA BARAT,2013-05-01,22.838709677419356,26.206451612903226,20.370967741935484,266.2,89.64516129032258
JAWA BARAT,2013-06-01,22.64,25.96333333333333,20.23,271.5,89.23333333333333
JAWA BARAT,2013-07-01,21.858064516129033,25.287096774193547,19.299999999999997,311.2,87.74193548387096
JAWA BARAT,2013-08-01,22.45483870967742,26.693548387096776,18.493548387096773,138.1,80.54838709677419
JAWA BARAT,2013-09-01,23.28666666666667,27.726666666666667,19.303333333333335,105.3,78.56666666666666
JAWA BARAT,2013-10-01,23.48709677419355,27.65806451612903,19.983870967741936,226.9,79.41935483870968
JAWA BARAT,2013-11-01,22.726666666666667,26.38,20.040000000000003,282.0,85.66666666666667
JAWA BARAT,2013-12-01,22.33225806451613,25.52258064516129,20.24516129032258,489.3,90.45161290322581
JAWA BARAT,2014-01-01,21.509677419354837,24.396774193548385,19.687096774193545,400.0,91.58064516129032
JAWA BARAT,2014-02-01,21.917857142857144,24.99285714285714,19.964285714285715,247.1,90.17857142857143
JAWA BARAT,2014-03-01,22.325806451612905,25.874193548387098,19.883870967741935,414.8,90.74193548387096
JAWA BARAT,2014-04-01,22.746666666666666,26.616666666666667,20.02,371.9,89.23333333333333
JAWA BARAT,2014-05-01,23.04516129032258,26.83225806451613,20.193548387096776,285.1,88.38709677419355
JAWA BARAT,2014-06-01,22.86,26.34,20.09,164.7,87.36666666666666
JAWA BARAT,2014-07-01,22.44516129032258,25.951612903225808,19.80322580645161,223.6,86.64516129032258
JAWA BARAT,2014-08-01,22.638709677419353,26.68064516129032,18.806451612903224,106.8,81.19354838709677
JAWA BARAT,2014-09-01,23.85666666666667,28.936666666666667,19.116666666666667,31.0,70.5
JAWA BARAT,2014-10-01,24.322580645161292,28.951612903225808,20.32903225806452,149.0,72.48387096774194
JAWA BARAT,2014-11-01,23.28666666666667,27.240000000000002,20.603333333333335,427.9,85.3
JAWA BARAT,2014-12-01,22.625806451612902,25.929032258064513,20.61935483870968,590.4,90.16129032258064
JAWA BARAT,2015-01-01,22.096774193548388,25.5,19.83225806451613,331.6,89.58064516129032
JAWA BARAT,2015-02-01,22.071428571428573,25.342857142857145,19.87142857142857,505.3,90.60714285714286
JAWA BARAT,2015-03-01,22.19677419354839,25.606451612903225,19.93548387096774,424.1,90.2258064516129
JAWA BARAT,2015-04-01,22.596666666666668,26.029999999999998,20.333333333333332,450.5,90.36666666666666
JAWA BARAT,2015-05-01,22.89032258064516,26.72258064516129,19.393548387096775,141.5,84.6774193548387
JAWA BARAT,2015-06-01,23.116666666666667,27.616666666666667,18.82,71.5,80.0
JAWA BARAT,2015-07-01,23.44193548387097,28.07741935483871,19.351612903225806,25.3,74.06451612903226
JAWA BARAT,2015-08-01,23.90967741935484,29.26774193548387,19.203225806451613,22.0,70.90322580645162
JAWA BARAT,2015-09-01,24.44333333333333,29.970000000000002,19.456666666666667,54.699999999999996,67.9
JAWA BARAT,2015-10-01,24.44516129032258,29.538709677419355,19.858064516129033,112.0,71.35483870967742
JAWA BARAT,2015-11-01,23.376666666666665,27.259999999999998,20.673333333333336,488.1,85.73333333333333
JAWA BARAT,2015-12-01,22.838709677419356,25.993548387096773,20.63225806451613,481.3,89.51612903225806
JAWA BARAT,2016-01-01,23.03548387096774,26.32903225806452,20.85483870967742,392.1,90.16129032258064
JAWA BARAT,2016-02-01,22.596551724137928,25.720689655172414,20.7448275862069,584.0,92.13793103448276
JAWA BARAT,2016-03-01,23.219354838709677,26.538709677419355,21.10967741935484,447.3,90.61290322580645
JAWA BARAT,2016-04-01,23.223333333333336,26.673333333333336,20.923333333333336,497.7,90.46666666666667
JAWA BARAT,2016-05-01,23.419354838709676,26.677419354838708,21.03548387096774,214.1,89.45161290322581
JAWA BARAT,2016-06-01,22.93,26.45,20.19,205.4,87.5
JAWA BARAT,2016-07-01,22.64516129032258,26.312903225806455,19.625806451612902,191.8,87.19354838709677
JAWA BARAT,2016-08-01,23.0,26.864516129032257,19.81935483870968,241.4,84.06451612903226
JAWA BARAT,2016-09-01,22.740000000000002,26.21333333333333,20.203333333333333,424.0,87.8
JAWA BARAT,2016-10-01,22.596774193548388,25.86774193548387,20.425806451612903,634.3,89.70967741935483
JAWA BARAT,2016-11-01,22.85,26.483333333333334,20.7,633.3,90.03333333333333
JAWA BARAT,2016-12-01,22.793548387096774,26.203225806451613,20.383870967741935,262.4,87.35483870967742
JAWA BARAT,2017-01-01,22.809677419354838,26.44193548387097,20.093548387096774,109.9,80.41935483870968
