province,date,cases,year,population,temp_mean,temp_max,temp_min,precip_total,rh_mean,oni,dmi,month,incidence_per_100k,time_index
BALI,2004-01-01,69.0,2004,3380000,26.05161290322581,27.94838709677419,24.40967741935484,339.4,87.64516129032258,0.37,0.044,1,2.0414201183431953,0
BALI,2004-02-01,439.0,2004,3380000,26.337931034482757,28.120689655172413,24.920689655172417,293.4,86.24137931034483,0.31,0.114,2,12.988165680473372,1
BALI,2004-03-01,890.0,2004,3380000,26.24516129032258,27.870967741935484,24.83225806451613,343.9,87.38709677419355,0.23,0.077,3,26.331360946745562,2
BALI,2004-04-01,429.0,2004,3380000,26.503333333333337,28.290000000000003,25.12,68.2,85.8,0.17,-0.08,4,12.692307692307692,3
BALI,2004-05-01,17.0,2004,3380000,25.88064516129032,27.55161290322581,24.593548387096774,124.0,86.61290322580645,0.17,-0.565,5,0.5029585798816568,4
BALI,2004-06-01,10.0,2004,3380000,24.973333333333336,26.526666666666664,23.88,11.9,80.23333333333333,0.28,-0.384,6,0.2958579881656805,5
BALI,2005-01-01,216.0,2005,3380000,26.11935483870968,27.83225806451613,24.73548387096774,273.2,86.51612903225806,0.64,-0.124,1,6.390532544378698,6
BALI,2005-02-01,379.0,2005,3380000,26.61785714285714,28.667857142857144,24.946428571428573,243.5,86.46428571428571,0.58,-0.56,2,11.21301775147929,7
BALI,2005-03-01,299.0,2005,3380000,26.490322580645163,28.31935483870968,24.929032258064513,357.2,87.16129032258064,0.45,-0.432,3,8.846153846153847,8
BALI,2005-04-01,298.0,2005,3380000,26.426666666666662,28.303333333333335,24.883333333333333,283.8,86.33333333333333,0.43,0.084,4,8.816568047337277,9
BALI,2005-05-01,327.0,2005,3380000,26.151612903225807,28.074193548387097,24.69032258064516,12.5,83.38709677419355,0.29,-0.033,5,9.674556213017752,10
BALI,2005-06-01,259.0,2005,3380000,25.69333333333333,27.676666666666662,24.216666666666665,72.8,86.9,0.11,-0.176,6,7.662721893491124,11
BALI,2005-07-01,178.0,2005,3380000,25.003225806451617,26.677419354838708,23.89032258064516,70.60000000000001,82.58064516129032,-0.06,-0.384,7,5.266272189349112,12
BALI,2005-08-01,109.0,2005,3380000,24.41290322580645,26.287096774193547,23.016129032258064,38.2,84.29032258064517,-0.14,-0.345,8,3.224852071005917,13
BALI,2005-09-01,112.0,2005,3380000,24.80666666666667,26.77,23.413333333333338,36.7,86.46666666666667,-0.11,-0.534,9,3.3136094674556213,14
BALI,2005-10-01,111.0,2005,3380000,25.26774193548387,27.074193548387097,23.75483870967742,234.8,87.74193548387096,-0.29,-0.436,10,3.2840236686390534,15
BALI,2005-11-01,135.0,2005,3380000,25.836666666666662,27.83,24.223333333333336,123.2,83.53333333333333,-0.57,-0.272,11,3.9940828402366866,16
BALI,2006-01-01,1023.0,2006,3482200,25.91290322580645,27.61935483870968,24.509677419354837,485.1,87.93548387096774,-0.85,-0.135,1,29.37797943828614,17
BALI,2006-02-01,1061.0,2006,3482200,25.925,27.717857142857145,24.364285714285717,274.6,86.64285714285714,-0.77,-0.305,2,30.469243581643788,18
BALI,2006-03-01,811.0,2006,3482200,26.216129032258067,28.203225806451613,24.625806451612902,325.3,86.93548387096774,-0.57,-0.226,3,23.28987421744874,19
BALI,2006-04-01,689.0,2006,3482200,25.886666666666667,27.676666666666662,24.486666666666668,257.5,86.76666666666667,-0.37,-0.015,4,19.786341967721555,20
BALI,2007-01-01,276.0,2007,3584400,26.135483870967743,27.887096774193548,24.84193548387097,120.2,84.54838709677419,0.66,0.224,1,7.700033478406428,21
BALI,2007-02-01,466.0,2007,3584400,26.428571428571427,28.417857142857144,24.832142857142856,281.7,86.03571428571429,0.22,0.15,2,13.00078116281665,22
BALI,2007-03-01,575.0,2007,3584400,26.39032258064516,28.34193548387097,24.851612903225806,413.9,85.74193548387096,-0.12,0.116,3,16.041736413346726,23
BALI,2007-04-01,784.0,2007,3584400,26.13,27.91,24.63,208.0,87.93333333333334,-0.32,0.1,4,21.87255886619797,24
BALI,2007-05-01,1387.0,2007,3584400,26.006451612903227,27.716129032258067,24.83225806451613,98.1,87.64516129032258,-0.38,0.27,5,38.69545809619462,25
BALI,2007-06-01,995.0,2007,3584400,24.996666666666663,26.39333333333333,24.096666666666668,105.2,86.63333333333334,-0.47,0.03,6,27.759178663095636,26
BALI,2007-07-01,585.0,2007,3584400,24.141935483870967,25.741935483870968,23.096774193548388,36.3,86.61290322580645,-0.56,0.045,7,16.32072313357884,27
BALI,2007-08-01,376.0,2007,3584400,23.73225806451613,25.496774193548383,22.638709677419353,54.7,85.38709677419355,-0.81,0.236,8,10.489900680727597,28
BALI,2007-09-01,192.0,2007,3584400,24.040000000000003,26.243333333333332,22.376666666666665,4.5,84.63333333333334,-1.07,0.235,9,5.356545028456646,29
BALI,2007-10-01,171.0,2007,3584400,25.067741935483873,27.216129032258067,23.27741935483871,70.5,87.35483870967742,-1.34,0.068,10,4.7706729159692,30
BALI,2007-11-01,203.0,2007,3584400,25.84333333333333,27.716666666666665,24.373333333333335,142.0,84.93333333333334,-1.5,-0.023,11,5.663430420711974,31
BALI,2007-12-01,365.0,2007,3584400,25.77741935483871,27.635483870967743,24.270967741935483,533.6,89.64516129032258,-1.6,-0.227,12,10.18301528847227,32
BALI,2008-01-01,600.0,2008,3686600,26.016129032258064,27.693548387096776,24.606451612903225,307.7,85.80645161290323,-1.64,0.115,1,16.27515868279716,33
BALI,2008-02-01,903.0,2008,3686600,26.07586206896552,27.99655172413793,24.50689655172414,375.5,86.0,-1.52,-0.072,2,24.494113817609723,34
BALI,2008-03-01,980.0,2008,3686600,25.648387096774194,27.700000000000003,23.887096774193548,543.0,88.64516129032258,-1.29,0.097,3,26.582759181902023,35
BALI,2008-04-01,1022.0,2008,3686600,25.89333333333333,27.82,24.41,237.2,86.16666666666667,-1.01,-0.153,4,27.722020289697824,36
BALI,2008-05-01,1126.0,2008,3686600,25.34193548387097,26.94516129032258,24.20967741935484,81.7,83.61290322580645,-0.84,0.178,5,30.543047794716,37
BALI,2008-06-01,581.0,2008,3686600,24.82,26.573333333333338,23.733333333333334,15.3,84.96666666666667,-0.61,0.215,6,15.759778657841913,38
BALI,2008-07-01,280.0,2008,3686600,23.990322580645163,25.75483870967742,22.925806451612903,17.3,81.19354838709677,-0.37,0.246,7,7.595074051972007,39
BALI,2008-08-01,108.0,2008,3686600,24.299999999999997,26.280645161290323,23.106451612903225,47.6,84.80645161290323,-0.23,0.124,8,2.929528562903488,40
BALI,2008-09-01,116.0,2008,3686600,24.77,26.94,23.256666666666668,36.1,85.33333333333333,-0.24,0.086,9,3.146530678674117,41
BALI,2008-10-01,115.0,2008,3686600,25.893548387096775,28.01290322580645,24.34193548387097,102.5,87.61290322580645,-0.35,0.029,10,3.1194054142027885,42
BALI,2008-11-01,161.0,2008,3686600,25.94333333333333,27.84333333333333,24.533333333333335,332.3,88.86666666666666,-0.55,-0.128,11,4.367167579883904,43
BALI,2008-12-01,262.0,2008,3686600,25.83225806451613,27.406451612903226,24.56451612903226,289.1,85.96774193548387,-0.73,-0.053,12,7.106819291488092,44
BALI,2009-01-01,400.0,2009,3788800,25.916129032258063,27.638709677419353,24.593548387096774,361.4,86.96774193548387,-0.85,0.031,1,10.557432432432432,45
BALI,2009-02-01,456.0,2009,3788800,25.767857142857142,27.660714285714285,24.292857142857144,375.4,87.60714285714286,-0.79,0.163,2,12.035472972972974,46
BALI,2009-03-01,587.0,2009,3788800,26.23870967741935,28.106451612903225,24.46451612903226,223.1,85.12903225806451,-0.61,0.1,3,15.493032094594595,47
BALI,2009-04-01,862.0,2009,3788800,26.65666666666667,28.543333333333333,25.27,114.1,85.76666666666667,-0.33,0.126,4,22.75126689189189,48
BALI,2009-05-01,1006.0,2009,3788800,26.09032258064516,27.748387096774195,24.845161290322583,200.4,86.90322580645162,0.01,0.256,5,26.55194256756757,49
BALI,2009-06-01,818.0,2009,3788800,25.773333333333333,27.55,24.59333333333333,26.6,83.3,0.28,0.1,6,21.589949324324323,50
BALI,2009-07-01,451.0,2009,3788800,24.838709677419356,26.593548387096774,23.674193548387095,48.4,81.35483870967742,0.45,-0.192,7,11.903505067567568,51
BALI,2009-08-01,287.0,2009,3788800,24.387096774193548,26.25483870967742,23.24516129032258,13.8,84.83870967741936,0.58,-0.104,8,7.57495777027027,52
BALI,2009-09-01,158.0,2009,3788800,24.38,26.41,22.85666666666667,107.9,88.93333333333334,0.71,-0.103,9,4.1701858108108105,53
BALI,2009-10-01,187.0,2009,3788800,25.23225806451613,27.274193548387096,23.561290322580643,74.0,86.96774193548387,1.01,-0.013,10,4.935599662162162,54
BALI,2009-11-01,277.0,2009,3788800,26.493333333333332,28.433333333333337,24.813333333333333,98.2,85.4,1.36,-0.067,11,7.31102195945946,55
BALI,2009-12-01,321.0,2009,3788800,26.77741935483871,28.838709677419356,25.23548387096774,129.6,82.7741935483871,1.56,0.16,12,8.472339527027026,56
BALI,2010-01-01,682.0,2010,3891000,26.37741935483871,28.293548387096777,24.919354838709676,313.4,86.41935483870968,1.5,0.294,1,17.52762785916217,57
BALI,2010-02-01,1048.0,2010,3891000,26.63214285714286,28.435714285714287,25.067857142857143,343.2,87.71428571428571,1.22,0.023,2,26.933950141351836,58
BALI,2010-03-01,1221.0,2010,3891000,26.97741935483871,28.919354838709676,25.348387096774193,229.3,85.70967741935483,0.84,0.458,3,31.38010794140324,59
BALI,2010-04-01,1482.0,2010,3891000,26.61,28.46333333333333,25.003333333333337,348.4,88.43333333333334,0.35,0.37,4,38.08789514263685,60
BALI,2010-05-01,1373.0,2010,3891000,26.54516129032258,28.193548387096776,25.270967741935483,358.7,89.54838709677419,-0.17,-0.03,5,35.286558725263426,61
BALI,2010-06-01,1645.0,2010,3891000,26.023333333333333,27.483333333333334,24.90666666666667,128.3,86.43333333333334,-0.66,-0.14,6,42.27704960164482,62
BALI,2010-07-01,1578.0,2010,3891000,25.33225806451613,26.990322580645163,24.12258064516129,167.5,88.16129032258064,-1.05,-0.001,7,40.555127216653815,63
BALI,2010-08-01,868.0,2010,3891000,25.177419354838708,26.94193548387097,24.0258064516129,92.5,87.19354838709677,-1.35,-0.062,8,22.307890002570034,64
BALI,2010-09-01,530.0,2010,3891000,25.59,27.446666666666665,24.136666666666667,330.9,88.83333333333333,-1.56,-0.268,9,13.62117707530198,65
BALI,2010-10-01,582.0,2010,3891000,26.006451612903227,27.75483870967742,24.612903225806452,237.3,87.38709677419355,-1.64,-0.437,10,14.957594448727834,66
BALI,2010-11-01,662.0,2010,3891000,26.373333333333335,28.383333333333333,24.653333333333332,261.7,86.7,-1.64,-0.495,11,17.0136211770753,67
BALI,2010-12-01,26.0,2010,3891000,26.174193548387095,28.15806451612903,24.606451612903225,357.4,86.51612903225806,-1.54,-0.212,12,0.6682086867129272,68
BALI,2011-01-01,649.0,2011,3943200,26.0,28.080645161290324,24.37741935483871,379.5,86.64516129032258,-1.31,0.192,1,16.458713735037534,69
BALI,2011-02-01,589.0,2011,3943200,26.325,28.517857142857142,24.642857142857142,320.7,85.07142857142857,-1.04,0.242,2,14.937106918238994,70
BALI,2011-03-01,488.0,2011,3943200,25.938709677419357,27.58709677419355,24.612903225806452,295.9,87.12903225806451,-0.8,0.367,3,12.375735443294786,71
BALI,2011-05-01,283.0,2011,3943200,25.700000000000003,27.374193548387098,24.43548387096774,244.5,86.45161290322581,-0.46,-0.089,5,7.176912152566444,72
BALI,2011-06-01,188.0,2011,3943200,24.503333333333337,26.1,23.55,44.0,82.66666666666667,-0.37,0.055,6,4.76770135930209,73
BALI,2011-07-01,105.0,2011,3943200,24.112903225806452,25.88064516129032,22.938709677419357,34.5,85.58064516129032,-0.43,0.223,7,2.6628119293974435,74
BALI,2011-08-01,65.0,2011,3943200,24.05806451612903,26.03548387096774,22.81935483870968,8.8,82.48387096774194,-0.58,0.344,8,1.6484073848650842,75
BALI,2011-09-01,40.0,2011,3943200,24.19,26.376666666666665,22.6,27.9,86.36666666666666,-0.79,0.202,9,1.0144045445323595,76
BALI,2011-10-01,80.0,2011,3943200,24.98709677419355,27.006451612903227,23.351612903225806,68.3,88.03225806451613,-0.96,0.356,10,2.028809089064719,77
BALI,2011-11-01,82.0,2011,3943200,25.926666666666662,27.743333333333332,24.39333333333333,266.9,88.2,-1.02,0.336,11,2.079529316291337,78
BALI,2011-12-01,128.0,2011,3943200,26.032258064516128,27.69677419354839,24.648387096774194,320.2,88.38709677419355,-0.92,-0.128,12,3.2460945425035503,79
BALI,2012-01-01,186.0,2012,3995400,25.838709677419356,27.812903225806455,24.351612903225806,584.3,88.09677419354838,-0.72,0.046,1,4.655353656705211,80
